title,description,season,episode,episode_title,content,genre
환혼,"역사에도 지도에도 존재하지 않은 가상의 국가 ‘대호국’을 배경으로, 영혼을 바꾸는 '환혼술'로 인해 운명이 비틀린 주인공들이 이를 극복하고 성장해가는 판타지 로맨스 활극",1,1,첫 회,"대호국 송림의 수장 박진은 환혼인들을 쫓고, 천하제일 살수 낙수는 자신의 부모를 죽인 술사들에 대한 복수를 꿈꾼다. 낙수는 송림과의 치열한 대결 끝에 힘이 소진되자, 도주 중 사술인 환혼술을 시도한다. 혼은 사리촌의 눈먼 시골 소녀 무덕이의 몸에 깃들지만, 약골의 몸 때문에 낙수의 강력한 술력은 모두 봉인된다. 대호국 장씨 집안의 도련님 장욱은 온 나라가 다 아는 출생의 비밀 때문에 아버지 장강에 의해 기문이 막혀 술법을 쓸 수 없는 비운의 인물이다. 장욱은 무덕이에게서 자신과 같은 기구한 운명을 느끼고, 그녀의 눈에서 푸른 빛을 본 후 그녀가 평범하지 않음을 직감한다. 장욱은 무덕이를 자신의 유일한 스승으로 삼아 막힌 기문을 뚫어달라고 간청하며 집요하게 그녀를 쫓는다. 장욱은 자신의 기문을 뚫어줄 수 있다면 그녀의 정체를 숨기고 지켜주겠다고 약속하고, 둘은 운명적인 사제 관계를 시작한다.","드라마, 로맨스, 판타지, 무협"
,,1,2,두 번째,"장욱은 무덕이를 스승으로 내세우며 송림의 술사들과 사대 가문 사람들에게 공식적으로 인정받으려 한다. 무덕이는 자신의 정체를 숨기기 위해 장욱을 스승으로서 혹독하게 대한다. 장욱은 무덕이의 진정한 의도를 파악하기 위해 계속 그녀를 시험한다. 무덕이는 장욱의 기문을 뚫을 단서를 찾기 위해 천부관 총수 진무의 근처를 맴돈다. 진무는 환혼인들을 이용해 자신의 세력을 넓히는 사술의 중심에 있는 인물로, 무덕이의 움직임을 감지한다. 진요원의 원장 진호경은 잃어버린 자신의 딸 진부연의 신력이 깃든 몸을 찾고 있고, 무덕이의 몸에서 알 수 없는 기운을 감지하며 그녀에게 관심을 보인다. 무덕이는 장욱에게 기문을 뚫는 데 필요한 '특별한 술기가 담긴 돌'을 찾아오라는 어려운 첫 번째 숙제를 내준다.",
,,1,3,기문을 뚫어라,"장욱은 무덕이의 명령에 따라 기문을 뚫을 돌을 찾아 헤매고, 마침내 그것이 천부관 총수 진무의 단추임을 알게 된다. 진무의 단추를 얻기 위해 장욱은 대호국 세자 고원에게 접근한다. 세자는 장욱의 불량한 태도와 출생의 비밀을 트집 잡아 그를 견제한다. 장욱은 세자와의 갈등을 이용해 진무에게 접근하려 한다. 무덕이는 약골의 몸 때문에 술력을 사용할 수 없다는 것에 분노하며, 장욱을 이용해 자신의 힘을 되찾으려 한다. 송림의 젊은 술사들, 서율, 박당구, 진초연은 장욱과 무덕이의 수상한 관계에 대해 각기 다른 반응을 보이며 복잡하게 얽히기 시작한다. 특히 서율은 무덕이에게서 과거 낙수의 모습을 느끼고 경계하면서도 묘한 연민을 갖는다.",
,,1,4,기문을 뚫다,"장욱은 진무의 계략과 세자의 견제 속에서 기회를 포착하고, 마침내 얼음돌의 기운이 담긴 진무의 단추를 손에 넣는다. 무덕이는 단추를 이용하여 장욱의 닫혔던 기문을 뚫어주는 데 성공한다. 기문이 뚫린 장욱은 이제 정식으로 술법 수련을 시작할 수 있는 자격을 갖춘다. 장욱은 세자 고원과의 결투에서 승리하며 술사로서의 실력을 인정받고, 대호국 내에서 입지가 강화된다. 무덕이는 장욱의 스승으로서 송림에 머물게 되지만, 그녀의 과거와 정체에 대한 박진의 의심은 더욱 깊어진다. 진무는 장욱이 자신의 단추를 이용해 기문을 뚫은 사실을 알고 그를 경계하며, 자신의 환혼인 실험에 박차를 가한다.",
,,1,5,스승과 제자,"장욱은 무덕이의 혹독한 가르침 아래 술력을 빠르게 성장시킨다. 무덕이는 장욱에게서 낙수 시절의 자신을 투영하며 복잡한 감정을 느낀다. 진무는 무덕이의 정체를 파악하기 위해 떠돌이 사기꾼 소이를 이용해 무덕이에게 접근시킨다. 소이는 무덕이와 인연을 맺고 진요원과 관련된 중요한 정보를 캐내려 한다. 장욱은 사대 가문의 젊은 술사들과 함께 환혼인을 추적하는 임무에 투입되고, 이 과정에서 무덕이의 뛰어난 관찰력과 과거 살수로서의 전투 본능이 드러난다. 진호경은 무덕이를 자신의 딸 진부연의 몸으로 확신하고, 그녀를 진요원에 데려와 신력을 시험하려 한다.",
,,1,6,단향곡,"박진은 무덕이의 수상한 행동과 장욱과의 관계를 더 이상 묵과할 수 없어 그녀를 송림에서 추방한다. 장욱은 무덕이를 따라나서며 자신의 보호를 선언하고, 두 사람은 과거 낙수가 수련했던 비밀스러운 장소인 단향곡으로 피신한다. 단향곡에서 장욱은 무덕이의 지도 아래 본격적인 야외 수련을 시작하고, 술력을 빠르게 끌어올린다. 무덕이는 이곳에서 낙수 시절의 잔혹했던 기억의 조각들을 떠올리며 괴로워한다. 서율은 무덕이가 낙수라는 사실을 확신하지만, 과거의 인연 때문에 그녀를 보호하려 애쓰고, 장욱과 무덕이 사이의 관계를 보며 질투와 안타까움을 느낀다.",
,,1,7,첫 키스,"단향곡에서 장욱은 무덕이의 도움으로 음양옥을 얻게 되며, 술력의 성장이 가속화된다. 두 사람은 수련 중 위험한 상황을 함께 겪으면서 사제 관계를 넘어 연인으로서의 감정을 확인하고 첫 입맞춤을 나눈다. 진무는 장욱의 빠른 성장에 위협을 느끼고 환혼인을 단향곡으로 보내 그를 제거하려 한다. 장욱은 무덕이의 지도 아래 환혼인을 처단하고, 술사로서의 기량을 공식적으로 인정받을 준비를 한다. 무덕이의 몸에 깃든 진부연의 신력이 간헐적으로 각성하며 그녀에게 알 수 없는 고통을 안겨주고, 무덕이는 자신의 운명에 대한 혼란을 느낀다.",
,,1,8,정진각 입성,"단향곡에서 돌아온 장욱은 송림의 정식 술사 교육기관인 정진각에 입성한다. 무덕이는 다시 장욱의 시종으로 송림에 머물며 그의 곁을 지킨다. 송림과 진요원의 젊은 술사들은 정진각을 배경으로 술법 수련과 미션을 수행하며 성장한다. 진무의 계략으로 송림 내부에서 환혼인이 발생하고, 장욱과 무덕이는 사건을 추적하며 진무의 음모에 대한 단서를 하나씩 찾아낸다. 진호경은 진요원의 비밀을 지키기 위해 무덕이의 신력을 시험하며 그녀를 진요원 사람으로 만들려 하고, 장욱은 무덕이를 지키기 위해 진호경과 대립각을 세운다.",
,,1,9,낙수의 검,"진무는 환혼인 '단주'를 이용해 송림의 내부를 혼란에 빠뜨리고, 이 사건을 장욱에게 뒤집어씌우려 한다. 장욱은 진무의 계략을 간파하고 세자 고원과 협력하여 진무의 세력을 견제한다. 무덕이는 환혼인 사건을 해결하는 과정에서 무의식적으로 낙수 시절의 검술을 사용하여 장욱을 돕는다. 장욱은 무덕이의 몸에 깃든 것이 낙수의 혼임을 거의 확신하게 되지만, 그녀를 향한 마음 때문에 괴로워한다. 진초연과 박당구는 사대 가문의 뜻에 따라 혼담을 나누지만, 두 사람의 관계는 환혼인 사건으로 인해 복잡해진다.",
,,1,10,얼음돌,"장욱은 자신의 출생의 비밀과 연관된 강력한 술법의 근원인 얼음돌의 존재를 알게 된다. 진무는 얼음돌을 이용해 환혼인 군대를 만들 야심을 드러내고, 박진은 이를 막기 위해 정진각에 봉인된 얼음돌을 지키려 한다. 장욱과 무덕이는 얼음돌이 봉인된 정진각 지하로 향한다. 무덕이는 얼음돌에 깃든 기운에 반응하며 낙수로서의 기억과 강력한 술력을 일시적으로 되찾아 혼란을 겪는다. 장욱은 얼음돌의 기운을 이용하여 자신의 술력을 비약적으로 성장시키고, 진무의 음모에 맞설 힘을 갖추게 된다. 진무는 무덕이의 정체를 확신하고 그녀를 조종하여 장욱을 무너뜨릴 계획을 세운다.",
,,1,11,왕실 환혼인,"얼음돌의 힘을 손에 넣은 장욱은 진무의 계략으로 왕실 내부에 숨어있던 환혼인 사건에 휘말린다. 무덕이는 장욱을 돕기 위해 자신의 신력과 낙수의 살수 기술을 총동원한다. 이 과정에서 무덕이의 정체는 사대 가문 술사들 사이에서 공공연한 비밀이 되지만, 장욱의 보호로 인해 직접적인 위협은 피한다. 진무는 무덕이의 몸에 깃든 낙수의 혼을 조종하여 장욱을 공격하려 한다. 서율은 낙수에 대한 복잡한 감정을 숨긴 채 무덕이와 장욱을 지켜주려 한다. 장욱은 왕실 내부까지 깊숙이 침투한 진무의 세력에 맞서 세자 고원과의 협력을 강화한다.",
