title,description,season,episode,episode_title,content,genre
나루토,일본의 닌자무협 소년만화. 작가는 키시모토 마사시. 재능이 없는 바보 열혈 닌자인 우즈마키 나루토가 나뭇잎 마을의 지도자인 호카게까지 성장하는 여정을 담고 있다.,1,1,등장! 우즈마키 나루토!,"과거, 거대한 아홉 꼬리 괴수인 구미가 나뭇잎 마을을 습격해 마을을 파괴하고 많은 피해를 주었다. 당시 4대 호카게가 나서서 구미를 막기 위해 자신의 목숨을 걸고 구미를 봉인하고, 구미는 한 아이의 몸 속에 봉인된 상태가 된다. 시간은 흘러 현재, 우즈마키 나루토는 나뭇잎 마을 닌자 아카데미에 다니는 학생으로 등장한다. 나루토는 호카게 얼굴이 새겨진 바위산에 낙서를 하는 등 마을 곳곳에서 장난을 치다가 어른들에게 쫓기곤 하고, 마을 사람들은 나루토를 싫어하거나 피하는 반응을 보인다.
아카데미에서는 졸업을 위한 변신술 시험이 치러지고, 다른 학생들은 변신술을 성공시키지만 나루토는 제대로 변신하지 못해 시험에서 낙제한다. 나루토의 담임인 이루카는 나루토를 혼내고 벌을 주겠다고 하지만, 결국 함께 라멘 가게에 가서 라멘을 사주며 이야기를 나눈다. 한편, 또 다른 교사인 미즈키는 나루토에게 접근해, 진짜 졸업을 위해서는 비밀 시험이 따로 있다며, 마을에 보관된 금서 두루마리를 훔쳐와 그 안의 술법을 익히면 졸업할 수 있다고 말한다. 나루토는 이를 믿고 금서 두루마리를 훔쳐 숲으로 도망가 두루마리에 적힌 다중 그림자 분신의 술을 밤새 연습한다.
금서가 도난당한 사실이 알려지면서 마을에 비상이 걸리고, 이루카는 나루토를 이용한 사람이 있다고 보고 직접 나루토를 찾으러 나선다. 숲에서 이루카는 나루토를 발견하고, 나루토는 비밀 시험이 있다고 해서 두루마리를 훔쳤다고 말한다. 그때 미즈키가 나타나 이루카를 공격하고 나루토에게 과거의 진실을 말해 준다. 구미는 죽은 것이 아니라 나루토의 몸에 봉인되어 있으며, 그 때문에 마을 사람들이 나루토를 꺼려 왔다는 사실이다. 미즈키는 나루토를 비난하며 두루마리를 빼앗으려 하고, 이루카는 자신의 몸을 내세워 나루토를 보호한다. 이어서 나루토는 자신이 연습한 다중 그림자 분신의 술을 사용해 수많은 분신을 만들어 미즈키를 공격해 쓰러뜨린다. 싸움이 끝난 후 이루카는 나루토에게 다가가 자신의 나뭇잎 이마 보호대를 건네주고, 나루토는 이를 받고 기뻐하며 정식 닌자로서의 첫걸음을 내딛는다.","성장, 무협"
,,1,2,코노하마루다 이거!,"에피소드 1의 사건 이후, 나루토는 이마 보호대를 차고 나뭇잎 마을을 돌아다닌다. 같은 시각, 3대 호카게의 손자인 코노하마루는 할아버지인 호카게를 쓰러뜨리면 자신이 호카게가 될 수 있다고 생각해, 3대 호카게를 뒤에서 기습하려다 실패한다. 사람들은 코노하마루를 이름보다는 “호카게님의 손자”라고 부르며 대하고, 코노하마루는 이런 호칭이 싫어 속으로 불만을 품고 있다. 그러다 마을에서 소란을 피우는 나루토를 보게 되고, 나루토에게 관심을 갖게 된다.
코노하마루는 나루토를 따라다니며 호카게가 되는 비법을 알려 달라고 조른다. 나루토는 자신이 사용할 수 있는 변신술과 섹시술 등을 보여 주며 코노하마루와 함께 장난을 치고, 둘은 여기저기 돌아다니며 어른들을 놀래키기도 한다. 코노하마루 곁에는 개인 교관 역할을 하는 에비스가 있는데, 에비스는 자신을 엘리트 닌자라고 소개하며 코노하마루를 ‘호카게의 손자’답게 키우겠다고 한다. 에비스는 나루토를 불량한 아이로 여기고 코노하마루가 나루토와 어울리는 것을 강하게 말린다.
에비스가 코노하마루를 데려가려 하자, 나루토와 에비스 사이에 충돌이 일어난다. 나루토는 에비스를 상대로 자신만의 변신술과 섹시술을 응용해 에비스를 곤란하게 만들고, 에비스는 기절하거나 쓰러지는 꼴이 된다. 이 모습을 본 코노하마루는 나루토를 더욱 따르게 되고, 나루토에게 자신도 언젠가 호카게가 되고 싶다고 말한다. 나루토는 코노하마루에게 호카게가 되기 위해서는 지름길 같은 것은 없으며, 노력해서 실력을 인정받아야 한다고 말한다. 마지막에는 코노하마루가 자신을 “호카게의 손자”가 아니라 코노하마루라는 이름으로 불려야 한다고 주장하며, 나루토와 함께 언젠가 누가 먼저 호카게가 될지 승부를 보자는 식의 약속을 나누고 에피소드는 마무리된다.",
,,1,3,숙적!? 사스케와 사쿠라,"나루토는 정식 닌자가 되어 아카데미를 졸업한 뒤, 동기들과 함께 각자 어느 팀에 배정되는지 발표를 듣는다. 이 과정에서 나루토는 사쿠라와 같은 팀이 되기를 바라지만, 사쿠라는 사스케와 같은 팀이 되기를 바란다. 결국 팀 편성이 발표되고, 나루토·사스케·사쿠라가 한 팀, 즉 제7반으로 묶이고 이들의 담당 상급 닌자로는 하타케 카카시가 정해진다. 나루토는 사쿠라와 한 팀이 된 것을 기뻐하지만, 동시에 사쿠라가 사스케만 신경 쓰는 태도에 불만을 느낀다.
이후 각 팀은 담당 상급 닌자를 기다리는데, 나루토 일행이 기다리는 교실로 카카시가 늦게 도착한다. 나루토는 교실 문에 함정을 설치해두고 카카시를 놀라게 하려 하지만, 카카시는 이를 쉽게 피하고 대수롭지 않게 넘긴다. 카카시는 세 명의 제자들을 데리고 옥상으로 올라가 각자의 자기소개 시간을 갖는다. 나루토는 장난스럽게 자신이 좋아하는 것과 싫어하는 것, 호카게가 되겠다는 꿈을 말하고, 사스케는 자신이 이루고 싶은 목표와 복수에 대한 언급을 짧게 한다. 사쿠라는 사스케에게 호감을 드러내고 나루토를 부담스러워하는 태도를 보인다. 카카시는 세 사람의 성격과 분위기를 대략 파악한다.
카카시는 다음 날 아침, 세 사람에게 훈련장으로 나오라고 지시하고, 아침은 먹지 말라고 말한다. 다음 날 훈련장에 모인 나루토, 사스케, 사쿠라 앞에서 카카시는 벨 시험이라고 불리는 평가를 설명한다. 카카시는 허리에 작은 방울 두 개를 달고, 정해진 시간 안에 세 명이 힘을 합쳐 자신에게서 방울을 빼앗아야 통과할 수 있다고 말한다. 방울은 두 개뿐이기 때문에 한 명은 탈락하게 된다는 조건이 붙어 있어, 이들은 긴장감을 느낀다. 카카시는 시작 신호를 보내고, 나루토와 사스케, 사쿠라는 각각 나무 뒤와 풀숲 등에 몸을 숨겨 카카시를 상대할 준비를 하고, 카카시는 이들의 실력을 시험하기 위해 움직이기 시작한다. 에피소드는 카카시와 제7반의 평가가 본격적으로 시작되는 지점에서 끝난다.",
,,1,4,시련! 서바이벌 연습,"아카데미 교실에서 나루토, 사스케, 사쿠라는 자신들의 담당 상급 닌자인 하타케 카카시를 기다린다. 카카시가 늦게 올 것 같자 나루토는 문 위에 분필 지우개를 끼워놓는 장난을 준비하고, 결국 카카시가 문을 열고 들어오면서 지우개를 맞는다. 카카시는 세 명을 “바보 같은 팀”이라고 부르며 첫인사를 하고, 옥상으로 데려가 자기소개 시간을 갖는다. 그 다음날 아침, 카카시는 세 사람에게 “생존 훈련”을 하겠다고 하며 훈련장 7번으로 오라고 시키고, 아침을 먹지 말라고 지시한다. 다음 날 새벽, 나루토 일행은 약속된 훈련장에 도착하지만 카카시는 또다시 늦게 나타난다. 카카시는 허리에 작은 방울 두 개를 매단 뒤, 정오 전까지 이 방울을 하나씩 빼앗으면 통과라고 설명한다. 방울은 두 개뿐이라 세 명 중 한 명은 탈락해 아카데미로 돌아가야 한다고 덧붙이고, 아침을 굶긴 것도 시험의 일부였음을 암시한다. 시험 시작 신호가 떨어지자 사스케와 사쿠라는 나무와 풀숲에 숨어 카카시의 빈틈을 노리고, 나루토만 정면에서 카카시에게 달려든다. 카카시는 책을 읽으면서도 나루토의 공격을 가볍게 피하고, 뒤로 돌아가 엉덩이를 찌르는 기술을 써서 나루토를 멀리 연못으로 날려버린다. 물에서 나온 나루토는 그림자 분신을 여러 개 만들어 카카시를 포위하고, 한 분신이 등 뒤에서 카카시를 붙잡아두는 사이 본체가 공격을 시도하지만, 카카시는 바디 교체 기술과 속임수를 써서 나루토의 분신들끼리 싸우게 만든다. 분신들을 해제한 나루토는 근처 땅에 떨어진 방울을 발견하고 주워 들지만, 그것은 카카시가 미리 준비해둔 덫이었다. 나루토는 밧줄에 걸려 나무에 거꾸로 매달리고, 카카시는 나타나서 함정에 쉽게 걸려든 나루토를 훈계한다. 그 틈을 타서 숨어 있던 사스케가 나무 위에서 수리검과 쿠나이를 던져 카카시를 공격하는 장면으로 에피소드가 끝난다.",
,,1,5,실격? 카카시의 결론,"사스케가 던진 수리검과 쿠나이에 맞은 것처럼 보였던 카카시는 대체술을 사용해 이미 다른 곳으로 이동해 있었고, 사스케는 카카시가 죽지 않았음을 알아차린 후 위치를 옮겨 다시 기회를 노린다. 사쿠라는 숨어 있다가 사스케가 걱정돼 찾으러 나가는데, 카카시가 걸어둔 환술에 걸려 사스케가 피투성이가 된 채 쓰러져 있는 환영을 보고 비명을 지른 뒤 기절한다. 한편 사스케는 카카시 앞에 모습을 드러내 정면 승부를 걸고, 카카시는 책을 집어넣고 두 손을 써서 사스케의 연속 공격을 상대한다. 사스케는 화둔 기술을 사용해 카카시를 공격하지만, 카카시는 토둔 기술을 사용해 땅 속으로 숨었다가 사스케를 끌어당겨 상반신만 지면 위로 나오게 만든 뒤, 움직이지 못하는 상태로 만든다. 나무에 거꾸로 매달려 있던 나루토는 어떻게든 탈출해 훈련장 근처에 준비된 도시락을 발견하고, 배고픔을 이기지 못해 몰래 먹으려다 카카시에게 들킨다. 카카시는 나루토를 나무 기둥에 묶고 손을 사용할 수 없게 한 채, 점심시간이 되면 사스케와 사쿠라만 도시락을 먹고 나루토는 굶게 할 거라고 말한다. 잠시 후 사쿠라는 환술에서 깨어나 사스케를 찾다가, 땅에 머리만 나온 채 박혀 있는 사스케를 보고 진짜로 목이 잘린 줄 알고 또다시 기절한다. 사스케는 스스로 땅에서 빠져나와 사쿠라를 깨운 뒤 둘이 함께 나루토가 묶여 있는 곳으로 이동한다. 시간이 흘러 점심시간이 되고, 카카시는 세 사람에게 시험이 거의 끝나간다고 알리며, 특히 사스케와 사쿠라에게 “나루토에게 음식을 주면 안 된다”고 못 박는다. 카카시가 자리를 비우자, 사스케는 나루토의 배가 심하게 꼬르륵거리는 것을 듣고, 이 상태로 두면 이후 상황에서 발목을 잡을 것이라며 자신의 도시락을 나루토에게 먹이기 시작한다. 사쿠라도 고민 끝에 음식을 건네며 나루토에게 먹여준다. 세 사람이 함께 움직이려는 순간, 카카시가 다시 나타나 규칙을 어겼다고 하면서 세 명 모두 불합격이라고 선언했다가, 결국 자신이 시험에서 보고 싶었던 것은 서로를 버리지 않는 협동심이었다고 밝힌다. 그런 다음 세 사람에게 통과를 알리고, 제7반이 정식 팀으로 활동을 시작하게 되면서 에피소드가 끝난다.",
,,1,6,파도의 나라를 향해 출발!,"시험을 통과한 뒤, 나루토·사스케·사쿠라는 마을에서 정식 임무를 받기 시작한다. 그들이 수행하는 임무는 도망친 애완동물 고양이 토라를 찾는 일 등, 자잘한 D랭크 잡무 위주이다. 또 한 번 토라를 무사히 잡아 돌아온 뒤, 3대 호카게는 다음 D랭크 임무로 아이 돌보기 같은 일을 제시하지만, 나루토는 이런 임무가 지겹다며 더 위험하고 제대로 된 임무를 달라고 큰 소리로 요구한다. 3대 호카게는 잠시 고민한 뒤, 나루토 팀에게 C랭크 임무를 하나 내린다. 그 임무는 물의 나라 근처에 위치한 파도의 나라로 돌아가야 하는 다리 건설 장인 다즈나를 호위해, 그가 다리를 완성할 때까지 지키는 것이다. 다즈나가 등장해 아이들 같은 팀이 자신을 보호한다는 사실에 불만을 드러내지만, 임무는 그대로 진행된다. 일행이 마을을 떠나 길을 걷던 중, 길 한가운데 생뚱맞게 웅덩이가 고여 있는 것을 지나치는데, 카카시는 아무 말 없이 통과한다. 잠시 뒤 웅덩이에서 안개 마을 출신의 닌자 ‘데몬 형제’가 튀어나와 쇠사슬로 카카시를 휘감아 끊어 버리는 듯한 공격을 한다. 카카시는 당한 것처럼 보이고, 적은 곧바로 나루토를 노린다. 나루토는 순간 겁에 질려 몸이 굳어버리고, 그 틈을 사스케가 파고들어 적의 움직임을 막고 제압한다. 이어서 카카시는 자신이 이미 대체술로 빠져나와 있었음을 밝히고, 남은 적까지 처리한다. 싸움이 끝난 뒤, 카카시는 이 정도 수준의 적이 나오는 것은 C랭크 임무 범위를 벗어난다며 다즈나에게 사정을 솔직히 말하라고 요구한다. 다즈나는 자신이 사는 파도의 나라가 가토라는 거대 상인에게 지배당하고 있고, 다리가 완성되면 그 지배가 약해지기 때문에 가토가 암살자를 보내고 있다고 설명한다. 그러나 가난 때문에 상위 랭크 임무를 정식 의뢰할 돈이 없어, 위험도를 낮춰 거짓 의뢰를 했다고 고백한다. 카카시는 팀에게 이 정도 위험을 감수하고 임무를 계속할지 묻고, 결국 7반은 다즈나를 끝까지 호위하기로 결정하고 파도의 나라를 향해 계속 이동한다.",
,,1,7,안개의 암살자!,"7반과 다즈나는 배를 타고 안개 속을 뚫고 파도의 나라로 향한다. 배를 모는 사공은 가토가 나라를 지배하면서 주민들이 가난과 공포에 시달리고 있다고 설명하고, 다리가 완성되면 상황이 달라질 수 있다고 말한다. 육지에 도착해 숲길을 걸어가는 도중, 카카시는 주변 기척에 신경을 곤두세우고 있다가 갑자기 모두 엎드리라고 외친다. 그와 동시에 거대한 칼이 회전하며 날아와 그들이 있던 자리를 스치고, 칼은 나무에 꽂힌다. 곧 칼 위에 한 닌자가 서서 모습을 드러내는데, 그는 안개 마을의 탈주 닌자인 모모치 자부자라고 자신을 소개한다. 자부자는 다즈나를 내놓으라고 요구하고, 카카시는 정면으로 이를 거절한다. 카카시는 이 상대가 위험한 상급 닌자라는 것을 알고 왼쪽 눈의 이마 보호대를 올려 사륜안 눈을 드러낸다. 자부자는 술법을 준비하며 안개를 짙게 만들어 시야를 가리는 안개 은신술을 사용하고, 사스케는 전장의 살기에 압도되어 긴장한다. 카카시는 사스케와 나루토, 사쿠라에게 다즈나를 중심으로 보호 대형을 유지하라고 지시하며, 자부자와 대치 상태에 들어간다. 안개 속에서 자부자가 사라진 것처럼 보이자 카카시는 상대가 소리 없는 암살을 주특기로 하는 인물이라고 설명하고, 팀에게 한순간도 경계를 늦추지 말라고 한다. 이어서 자부자는 여러 방향에서 기척을 보이며 장난치듯 등장과 소멸을 반복하고, 카카시와 날카롭게 대치를 이어가다가 본격적인 전투에 들어가기 직전까지의 상황이 그려진다.",
,,1,8,고통에 걸고 맹세한 결심!,"카카시와 자부자의 싸움이 본격적으로 시작되고, 두 사람은 물 위와 숲속을 오가며 수술과 무술을 주고받는다. 사륜안을 사용한 카카시는 자부자의 동작과 술법을 그대로 따라 하며 우위를 점하는 듯 보이지만, 자부자는 물을 이용한 술법으로 카카시의 움직임을 묶을 기회를 노린다. 전투 도중 자부자는 물 분신을 만들어 7반과 다즈나 쪽을 견제하고, 본체는 물 감옥 술법을 사용해 카카시를 물 구체 안에 가두는 데 성공한다. 자부자가 손을 떼지 않는 한 카카시는 그 안에서 벗어날 수 없는 상태가 되고, 물 분신은 다즈나와 나루토, 사스케, 사쿠라를 향해 다가온다. 카카시는 아이들과 다즈나에게 도망치라고 소리치지만, 나루토는 이전에 데몬 형제와의 싸움에서 겁을 먹었던 자신의 모습을 떠올리며 망설인다. 그때 손에 남아 있던 상처의 통증을 느끼고, 다시는 도망치지 않겠다고 다짐했던 것을 기억한다. 나루토는 이마 보호대를 다시 매고 자부자의 물 분신에 맞서 싸우기로 한다. 나루토는 그림자 분신을 여러 개 만들어 물 분신에게 달려들게 하고, 사스케와 함께 자부자의 본체를 노릴 계획을 세운다. 사스케는 거대한 풍마 수리검을 사용해 자부자를 공격하는데, 자부자는 첫 번째 수리검을 한 손으로 잡아 막아내고, 두 번째 수리검은 몸을 숙여 피한다. 그러나 뒤로 날아가던 두 번째 수리검이 공중에서 나루토로 변신해 되돌아오고, 나루토는 자부자의 바로 뒤에 나타나 쿠나이를 던져 자부자가 물 감옥을 유지할 수밖에 없도록 만든다. 자부자는 공격을 피하기 위해 결국 물 감옥을 풀 수밖에 없고, 그 순간 카카시는 해방된다. 에피소드는 카카시가 다시 전투 태세를 갖추고 자부자를 정면으로 상대할 준비를 하는 장면에서 끝난다.",
,,1,9,사륜안의 카카시,"자부자의 물 감옥에서 풀려난 카카시는 물 위에서 자부자와 다시 대치한다. 카카시는 사륜안을 사용해 자부자의 움직임과 손짓을 그대로 따라 하며, 자부자가 사용하는 물 분신의 술, 물둔술 등을 그대로 복사해 동시에 발동시킨다. 자부자는 자신이 공격을 준비할 때마다 카카시가 같은 인술을 똑같이, 더 빠르게 따라 하는 모습을 보고 당황한다. 두 사람은 물 위에서 거대한 물둔술을 서로 주고받고, 결국 카카시는 자부자의 움직임과 다음 행동까지 읽어내며 자부자를 압도해, 자부자의 뒤로 돌아가 쿠나이를 목에 겨누고 쓰러뜨린다. 그때 나뭇잎 마을의 암부처럼 얼굴을 가면으로 가린 소년이 나타나 자부자가 위험한 인물이니 자신이 처리하겠다고 나선다. 카카시는 자부자를 인질 삼아 경계하지만, 가면 쓴 소년이 침처럼 생긴 도구를 자부자의 목과 목덜미에 던져 자부자를 쓰러뜨리자, 자부자가 죽었다고 판단하고 시신을 넘긴다. 가면의 소년은 자부자의 몸을 데리고 사라지고, 카카시는 사륜안 과다 사용과 전투 피로로 쓰러진다. 이후 일행은 다즈나의 집까지 이동해 카카시를 침대에 눕혀 쉬게 하고, 다즈나의 가족인 딸 쓰나미와 손자 이나리를 만나게 된다. 이나리는 나루토 일행을 곁눈질하며 냉담한 태도를 보이고, 다즈나는 앞으로도 위험이 있을 수 있다고 경고하면서도 다리가 완성돼야 한다고 말한다.",
,,1,10,차크라의 숲,"다즈나의 집에서 카카시는 요양을 하면서 자부자가 완전히 죽지 않았을 가능성이 있다고 말하고, 상대가 다시 나타났을 때를 대비해 제자들의 전투력을 끌어올려야 한다고 판단한다. 카카시는 나루토, 사스케, 사쿠라에게 차크라의 기본 개념과 인술이 발동되는 원리, 그리고 차크라를 효율적으로 다루는 것이 중요하다고 설명한 뒤, 나무를 오르는 훈련을 시킨다. 단순히 손과 발을 사용해 기어오르는 것이 아니라, 발바닥에 차크라를 일정하게 모아 미끄러지지 않고 나무 줄기를 수직으로 달려 올라가는 연습이다. 세 사람은 각각 나무에 달려가 시도해 보지만, 나루토는 차크라 조절에 실패해 조금 오르다 곧 떨어지고, 사스케는 어느 정도 올라가지만 끝까지 도달하지 못한 채 미끄러져 내려온다. 사쿠라는 비교적 수월하게 나무 꼭대기까지 올라가고, 카카시는 사쿠라의 차크라 컨트롤이 안정적이라고 말한다. 나루토와 사스케는 서로에게 지기 싫어하며 경쟁심을 불태우고, 누구 먼저 나무 꼭대기에 도달하느냐를 두고 계속 훈련한다. 한편, 집 안에서는 이나리가 다리 공사에 대해 비관적인 말을 하며, 외부에서 온 나루토 일행이 가토에게 맞설 수 없다고 단언한다. 나루토는 이나리의 말에 화를 내고 방을 나가고, 쓰나미는 과거에 이나리에게 있었던 일 때문에 아이가 그렇게 변했다고 카카시와 사쿠라에게 간단히 언급한다. 밤이 되자 나루토는 계속 숲으로 나가 나무 오르기 연습을 반복하고, 사스케도 손에 상처가 날 정도로 연습을 계속한다. 에피소드 마지막에는 나루토와 사스케가 각자 나무에 남긴 발자국 높이를 확인하며 묵묵히 훈련을 이어가는 모습이 그려진다.",
