title,description,season,episode,episode_title,content,genre
꿈빛 파티시엘,케이크를 잘 먹는 것 외에 어떠한 장점도 없다고 생각했던 14세 여자아이 아마노 이치고. “할머니의 딸기타르트 맛을 재현하고 싶어!”라며 꿈을 이루기 위해 세인트 마리 학교에 전학한 아마노 이치고는 학원에 전해 내려오는 전설의 스위트 요정과 만나게 된다.,1,1,"あたし、パティシエールになる!
난 파티시엘이 될 거야!","Ichigo Amano, a middle schooler with no particular talent, meets a pâtissier (Henri Lucas) who realizes that she has an incredible palate one day at a sweets festival. He asks her to transfer to a special school for pâtissiers (male) and pâtissières (female) called ""St. Marie Academy"".","로맨스, 학원, 요리, 성장"
,,1,2,"伝説のスイーツ精霊スピリッツ?
전설의 스위트 요정","Ichigo transfers to St. Marie Academy and is overwhelmed by the school. She encounters three boys (aka Sweets Princes) on the way to class, each one of them is a talented pâtissier. Ichigo is then placed in Group A with them, despite being a beginner.",
,,1,3,"バラのスイーツ王子
장미의 스위트 왕자","Ichigo has a hard time with the extreme course-load at St. Marie and starts to get homesick. She is cheered up by Hanabusa, one of the boys in her group.",
,,1,4,"ケーキなんか大嫌いだ!
난 케이크가 정말 싫어!","There's a special salon at St. Marie Academy (which is run by the High School student council) called Salon de Marie. Ichigo would give anything to work there, but because she's in middle school, her chances are slim. Andou asks her to come with him to his family's Japanese confectionery to help get her mind off things. There, she finds out that the eldest out of Andou's 4 younger siblings, Ichita, dislikes cake, so she decides to find out why.",
,,1,5,"天使? 悪魔? 精霊スピリッツ??
천사? 악마? 요정?","Kashino is extremely skilled with chocolate; so with a chocolate test coming up, Ichigo decides to make a chocolate cake that will blow him away.",
,,1,6,"ぴよぴよ幼稚園のお誕生会
병아리 유치원의 생일 파티","Ichigo finds all three of the Sweets Princes also have accompanying Sweets Spirits. On a trip to a local preschool, Ichigo notices a little girl named Ringo that seems to be having trouble making friends, and promises her that she will make a cake that will help her to make friends with everyone else in the class.",
,,1,7,"仲良し誕生日バースデーケーキ
특별한 생일 케이크","Group B stole the cake Ichigo designed in order to embarrass her because she is with the Sweets Princes. With little time to spare, Group A must design a new cake to be presented to Ringo for her birthday.",
,,1,8,"天才と天敵と天然?
천재와 천적의 만남?","Ichigo's roommate and friend, Rumi, goes home and leaves her alone. Group B invited her to gather walnuts and she is intentionally misled by them. Fortunately, the High School student council president, Mari Tennouji, rescues Ichigo. Later, Ichigo learns about the Cake Grand Prix, a competition held at St. Marie where winners get to go to Paris to study. Ichigo and the rest of Group A decide to team up for the competition, but a girl named Miya (known as the Heiress) shows up and claims that she will be the one to work with Group A, leading a showdown between her and Ichigo.",
,,1,9,"運命のプリン対決!!
운명의 푸딩 대결","Ichigo, with the help of Caramel and Vanilla, stays up all night the night before her showdown with the Heiress to practice making pudding. She ends up winning due to a few factors, and finds out that Mari Tennouji also has a Sweets Spirit named Honey. Group A is upset at Ichigo's attitude towards her win, and when Vanilla tries to explain, Ichigo doesn't listen. Vanilla gets upset as well and claims that she will no longer be her partner.",
,,1,10,"思いでのイチゴタルト
추억의 딸기 타르트","Upset that she made her friends mad, Ichigo runs back home without telling anyone. Her family greets her happily, not having known that she ran away because she told them that she was on an early Winter break. But, Ichigo quickly tells them the truth after her mom hangs up the phone and tells them her plans to transfer from St. Marie. The next day, Ichigo and her family visit her deceased grandmother's pastry shop, now run by her uncle. Ichigo and her sister help their uncle make sweets. After discovering that Vanilla followed her and remembering the happiness her grandmother's sweets brought her, Ichigo decides to go back to St. Marie. Her uncle gives her her grandmother's recipe notebook and she heads back to school, where she finds the Sweets Princes waiting for her to apologize for what they said to her.",
